"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Meiri et al 2006","ES172","CC63","NW America W. of the Rockies, 47-55N","Vancouver Island","Mammals","Carnivora","Mustelidae","Gulo gulo","Gulo gulo","Gulo gulo","Carn","Both","CBL",11986.8343978087,12727.3539378297,594.218048338679,596.102334662736,4,4,0.0599446166395334,0.00116276969431398,-125.415,49.552,4.07870450544385,4.49533615931354,1.00004342727686,0.642414501953125,-1.53147189003202,6.86428451538086,2.71065595970608,3.36782465258358,"","Island rule","SP44"
"Meiri et al 2006","ES173","CC64","Sumatra","South Pagai","Mammals","Carnivora","Viverridae","Hemigalus derbyanus","Hemigalus derbyanus","Hemigalus derbyanus","Inver","Both","CBL",3690.08604599284,2575.86801561392,182.927006053617,120.644161024437,16,5,-0.359463205723037,0.000592317955193039,100.326,-3.011,3.56703649322252,2.99431715266964,1.93450350115004,0.7955884765625,-1.54464129680827,25.7266960144043,1.54594231552126,3.54738946635096,"","Island rule","SP45"
"Meiri et al 2006","ES174","CC65","Asia, 15-25N, E. of 105E","Hainan","Mammals","Carnivora","Herpestidae","Urva javanica","Herpestes javanicus","Herpestes javanicus","Carn","Both","CBL",1042.02021478151,705.07430339744,51.6556079618577,33.0230808712457,24,10,-0.390613429958785,0.000321757295797894,109.842,19.229,3.01787614418702,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"","Island rule","SP46"
"Meiri et al 2006","ES175","CC66","Asia, 15-25N, E. of 105E","Hainan","Mammals","Carnivora","Herpestidae","Herpestes urva","Herpestes urva","Herpestes urva","Carn","Both","CBL",3014.8413986041,2890.19476037289,149.453401329769,135.366066874862,4,2,-0.0422233336979467,0.00171117975179497,109.842,19.229,3.47926447019995,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"","Island rule","SP47"
"Meiri et al 2006","ES176","CC67","China S. of 30N, E. of 110E","Taiwan","Mammals","Carnivora","Herpestidae","Herpestes urva","Herpestes urva","Herpestes urva","Carn","Female","CBL",2917.287139598,2131.70818866542,49.0111623431725,70.7647246545775,5,10,-0.313730497825686,0.000166648823182726,120.66,23.776,3.46497917749529,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"","Island rule","SP47"
"Meiri et al 2006","ES177","CC68","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Male","CBL",7504.41257759865,7910.66430005193,214.598449383449,370.50635041884,4,2,0.0527205693448992,0.00130125723885148,-134.336,57.622,3.87531670266963,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"","Island rule","SP48"
"Meiri et al 2006","ES178","CC68","NW America W. of the Rockies, 55-60N","Baranof","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Male","CBL",7504.41257759865,7920.83525378959,214.598449383449,218.619716891886,4,8,0.0540054703869507,0.000299661186739509,-134.9478,56.9513,3.87531670266963,3.61940641088678,1.87506705394619,0.377066235351563,-1.49491484498233,4.87631893157959,2.69984283152156,3.61059875032817,"","Island rule","SP48"
"Meiri et al 2006","ES179","CC69","Canada S. of 52N, E. of 65W","Cape Breton","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Both","CBL",5742.06342102867,5777.47725225136,284.648774333974,270.595733830528,46,3,0.00614849910990976,0.000784635987090565,-60.982,46.136,3.75906798496485,4.01199311465926,-0.0963674839157623,0.5498705078125,-1.46726447186721,4.82970857620239,2.9427299640846,3.19505647851451,"","Island rule","SP48"
"Meiri et al 2006","ES180","CC68","NW America W. of the Rockies, 55-60N","Chichagof","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Male","CBL",7504.41257759865,7764.27667088269,214.598449383449,170.844720104825,4,6,0.0340421085517096,0.000285132726242781,-135.908,57.852,3.87531670266963,3.73631680790411,0.944532020991981,0.46705810546875,-1.53866070150162,5.07158374786377,2.71570370857753,3.32315563083881,"","Island rule","SP48"
"Meiri et al 2006","ES181","CC70","NW America W. of the Rockies, 53-58N","Graham","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Both","CBL",7402.30392968266,6228.38183671719,366.951143924192,291.714442151454,4,2,-0.172674731825085,0.00171117975179497,-132.313,53.437,3.86936691273346,3.80352539557653,1.88081930664427,0.718636279296875,-1.4955592547472,7.14643526077271,2.61294044743336,3.40125312714341,"","Island rule","SP48"
"Meiri et al 2006","ES182","CC70","NW America W. of the Rockies, 53-58N","Moresby","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Both","CBL",7402.30392968266,6849.95870869093,366.951143924192,320.826811176928,4,2,-0.0775486692746811,0.00171117975179497,-131.986,52.801,3.86936691273346,3.42094540592197,2.25527491784373,0.690309033203125,-1.47829409875799,7.47664976119995,2.5930912086848,3.5126817259473,"","Island rule","SP48"
"Meiri et al 2006","ES183","CC68","NW America W. of the Rockies, 55-60N","Prince of Wales","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Male","CBL",7504.41257759865,8391.36233284033,214.598449383449,36.1107864109657,4,6,0.111711691867295,0.000207523562864649,-132.867,55.726,3.87531670266963,3.82445127003661,0.845160077651946,0.63933564453125,-1.40447162084549,6.14069986343384,2.70336968549309,3.52471611961819,"","Island rule","SP48"
"Meiri et al 2006","ES184","CC71","NW America W. of the Rockies, 47-55N","Vancouver Island","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Female","CBL",4339.64456489974,6171.15928143707,102.420741041767,219.09632167821,2,9,0.352094263020401,0.000418561454731234,-125.415,49.552,3.63745416042863,4.49533615931354,1.00004342727686,0.642414501953125,-1.53147189003202,6.86428451538086,2.71065595970608,3.36782465258358,"","Island rule","SP48"
"Meiri et al 2006","ES185","CC68","NW America W. of the Rockies, 55-60N","Wrangell","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","Carn","Female","CBL",7647.1411530644,7419.24968333207,379.088351481272,347.490301541357,2,2,-0.0302539412898746,0.00232553938862796,-135.494,56.853,3.8834991065916,2.75511226639507,0.80624782719579,0.57709013671875,-1.60569961310214,6.91128396987915,2.64343710320843,3.46584071306918,"","Island rule","SP48"
"Meiri et al 2006","ES186","CC72","Britain","South Uist","Mammals","Carnivora","Mustelidae","Lutra lutra","Lutra lutra","Lutra lutra","Carn","Both","CBL",5700.58934285583,6461.23558964695,284.470058234457,302.620453442917,21,2,0.125251004273127,0.00121540089844236,-7.326,57.277,3.75591975657064,2.63748972951251,1.86332880931919,0.576409765625,-2.04709385227247,8.69385528564453,2.49039138660765,3.15887488374712,"","Island rule","SP49"
"Meiri et al 2006","ES187","CC73","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1341.06618902745,1531.42740095861,71.2746778043594,71.7264133249668,21,6,0.132735281243856,0.00050011553786656,-134.336,57.622,3.12745021321327,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"","Island rule","SP50"
"Meiri et al 2006","ES188","CC73","NW America W. of the Rockies, 55-60N","Chichagof","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1341.06618902745,1487.26342573324,71.2746778043594,74.7577104140106,21,87,0.103472843221553,0.000163550191851285,-135.908,57.852,3.12745021321327,3.73631680790411,0.944532020991981,0.46705810546875,-1.53866070150162,5.07158374786377,2.71570370857753,3.32315563083881,"","Island rule","SP50"
"Meiri et al 2006","ES189","CC74","NW America W. of the Rockies, 47-55N","Gilford","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Male","CBL",1352.22275439439,1286.02785138495,67.0331414758072,60.2328031731155,45,4,-0.0501914402604625,0.000603019802977256,-126.369,50.719,3.13104823970894,2.58206336291171,0.17638069224327,0.737818798828125,-1.62931090507451,7.28807830810547,2.6748578623469,3.29553410894985,"","Island rule","SP50"
"Meiri et al 2006","ES190","CC75","NW America W. of the Rockies, 53-58N","Graham","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1313.34677862614,1323.50222415064,61.9023341040415,49.1267092423493,39,2,0.0077027510684026,0.000745862415230709,-132.313,53.437,3.11837941318707,3.80352539557653,1.88081930664427,0.718636279296875,-1.4955592547472,7.14643526077271,2.61294044743336,3.40125312714341,"","Island rule","SP50"
"Meiri et al 2006","ES191","CC76","Baranof","Kruzof","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Male","CBL",4499.37051100253,1494.39561379407,223.045307465771,69.9919809446505,2,2,-1.10221564715421,0.00232553938862796,-135.69,57.109,3.65315175761509,2.65030752313194,0.431524584187451,0.65016845703125,-1.42673444093564,6.19442319869995,2.67415420119338,3.39809283308018,"","Island rule","SP50"
"Meiri et al 2006","ES192","CC73","NW America W. of the Rockies, 55-60N","Kupreanof","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Male","CBL",1585.94941424994,1594.40482408917,42.9743652093839,74.6760436363848,10,2,0.00531728802994538,0.0011702444934121,-133.4969,56.7928,3.20028933086149,3.45055700941833,0.954290761701127,0.603000244140625,-1.39296553267818,5.77403974533081,2.72822360457428,3.52261263719397,"","Island rule","SP50"
"Meiri et al 2006","ES193","CC77","Moresby","Louise","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Female","CBL",1139.18159377675,1142.78269935324,22.5607717486538,15.0861392631182,16,9,0.00315614804020965,4.38769258536898e-05,-131.7739,52.955,3.05659295927578,2.43933269383026,-1.50863830616573,0.718576806640625,-1.56483081037233,6.98739099502563,2.61562314518987,3.45502005142005,"","Island rule","SP50"
"Meiri et al 2006","ES194","CC73","NW America W. of the Rockies, 55-60N","Mitkof","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1341.06618902745,1345.77911046826,71.2746778043594,66.6458353702562,21,42,0.00350814858989665,0.000192900271589415,-132.809167,56.5983,3.12745021321327,2.73239375982297,0.845160077651946,0.577709912109375,-1.47843202534781,5.46549844741821,2.72758086715248,3.49433551915776,"","Island rule","SP50"
"Meiri et al 2006","ES195","CC75","NW America W. of the Rockies, 53-58N","Moresby","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1313.34677862614,1485.78359435966,61.9023341040415,71.2688242185803,39,50,0.123363633931779,0.000102979681561163,-131.986,52.801,3.11837941318707,3.42094540592197,2.25527491784373,0.690309033203125,-1.47829409875799,7.47664976119995,2.5930912086848,3.5126817259473,"","Island rule","SP50"
"Meiri et al 2006","ES196","CC73","NW America W. of the Rockies, 55-60N","Prince of Wales","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1341.06618902745,1439.8191233481,71.2746778043594,82.6649351057725,21,20,0.0710525358686437,0.0002993238529575,-132.867,55.726,3.12745021321327,3.82445127003661,0.845160077651946,0.63933564453125,-1.40447162084549,6.14069986343384,2.70336968549309,3.52471611961819,"","Island rule","SP50"
"Meiri et al 2006","ES197","CC73","NW America W. of the Rockies, 55-60N","Revillagigedo","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Both","CBL",1341.06618902745,1433.19746201686,71.2746778043594,67.1256851435249,21,13,0.0664429745526701,0.000303250389027231,-131.404,55.668,3.12745021321327,3.48058178682917,0.568319085095112,0.508264794921875,-1.53574621623173,4.88454723358154,2.75381380217385,3.45942017220757,"","Island rule","SP50"
"Meiri et al 2006","ES198","CC74","NW America W. of the Rockies, 47-55N","Vancouver Island","Mammals","Carnivora","Mustelidae","Martes americana","Martes americana","Martes americana","Carn","Male","CBL",1352.22275439439,1497.33333440084,44.8890775830256,29.7932092034262,45,119,0.101936025704105,2.78160576538142e-05,-125.415,49.552,3.13104823970894,4.49533615931354,1.00004342727686,0.642414501953125,-1.53147189003202,6.86428451538086,2.71065595970608,3.36782465258358,"","Island rule","SP50"
"Meiri et al 2006","ES199","CC78","China S. of 30N, E. of 110E","Taiwan","Mammals","Carnivora","Mustelidae","Martes flavigula","Martes flavigula","Martes flavigula","Carn","Both","CBL",3049.35008770554,2257.09766270866,151.164085335909,105.714132951336,4,3,-0.300848713988534,0.00134557304680764,120.66,23.776,3.48420728741249,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"","Island rule","SP51"
"Meiri et al 2006","ES200","CC79","Jutland","Fyn","Mammals","Carnivora","Mustelidae","Martes foina","Martes foina","Martes foina","Carn","Male","CBL",1721.23119240395,1677.61682866969,42.8542965153409,78.5733871411472,5,16,-0.0256656123419751,0.00026107928525557,10.261,55.327,3.23583920783009,3.47494433546539,-0.186419011431808,0.561219775390625,-1.36691054740253,8.33697509765625,2.78402036105908,2.80536108157804,"","Island rule","SP52"
"Meiri et al 2006","ES201","CC79","Jutland","Lolland","Mammals","Carnivora","Mustelidae","Martes foina","Martes foina","Martes foina","Carn","Male","CBL",1721.23119240395,1866.66482547371,42.8542965153409,87.4276983207267,5,2,0.0811134784260469,0.0012207968858473,11.487,54.735,3.23583920783009,3.09447112864164,1.79239869419147,0.456516796875,-1.40017510787031,8.72486400604248,2.79009536171835,2.76371764841034,"","Island rule","SP52"
"Meiri et al 2006","ES202","CC79","Jutland","Sjaelland","Mammals","Carnivora","Mustelidae","Martes foina","Martes foina","Martes foina","Carn","Male","CBL",1721.23119240395,1566.09678490172,42.8542965153409,40.2506031458738,5,10,-0.0944534447378896,0.000190032058690963,11.781,55.511,3.23583920783009,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"","Island rule","SP52"
"Meiri et al 2006","ES203","CC80","Italy S. of 43N","Sardinia","Mammals","Carnivora","Mustelidae","Martes martes","Martes martes","Martes martes","Carn","Both","CBL",1531.9613316393,1488.28916290131,75.9432425948456,69.7059772983736,7,3,-0.0289215831174478,0.0010822760595935,9.034,40.029,3.18524780337255,4.37717871299024,2.33041580275792,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,"","Island rule","SP35"
"Meiri et al 2006","ES204","CC81","Jutland","Sjaelland","Mammals","Carnivora","Mustelidae","Martes martes","Martes martes","Martes martes","Carn","Male","CBL",2085.22974737713,2154.75276970673,29.6076274297316,25.848196246311,7,8,0.0327969531716244,4.67882863558489e-05,11.781,55.511,3.31915391183794,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"","Island rule","SP35"
"Meiri et al 2006","ES205","CC82","Honshu","Kyushu","Mammals","Carnivora","Mustelidae","Martes melampus","Martes melampus","Martes melampus","Omn","Both","CBL",1719.07666611567,1302.06892989215,85.219028442618,60.9841081494175,115,3,-0.277832840728605,0.000752582440821018,131.3333,33,3.23529524546455,4.56489084517638,-0.045275209020937,0.742241845703125,-2.06316151198134,14.0496435165405,2.88731074522209,3.39533360382983,"","Island rule","SP53"
"Meiri et al 2006","ES206","CC82","Honshu","Sado","Mammals","Carnivora","Mustelidae","Martes melampus","Martes melampus","Martes melampus","Omn","Male","CBL",1907.71002235171,2207.28162462631,94.57006651274,103.380933391585,78,2,0.145858142734599,0.00112832573736367,138.3667,38.0167,3.2805123613202,2.9329808219232,1.49970082589721,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,"","Island rule","SP53"
"Meiri et al 2006","ES207","CC83","Kyushu","Tsushima","Mammals","Carnivora","Mustelidae","Martes melampus","Martes melampus","Martes melampus","Omn","Both","CBL",1302.06892989215,1642.98803315737,64.5468880811754,76.9515020303629,3,8,0.232562071566429,0.00109335121118448,129.3333,34.4167,3.11463397584462,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"","Island rule","SP53"
"Meiri et al 2006","ES208","CC84","Jutland","Fyn","Mammals","Carnivora","Mustelidae","Meles meles","Meles meles","Meles meles","Omn","Both","CBL",10864.2612542596,11228.7866049322,538.569225610378,525.914965775767,108,3,0.0330020952538548,0.000753967470598097,10.261,55.327,4.03600020059614,3.47494433546539,-0.186419011431808,0.561219775390625,-1.36691054740253,8.33697509765625,2.78402036105908,2.80536108157804,"","Island rule","SP54"
"Meiri et al 2006","ES209","CC84","Jutland","Lolland","Mammals","Carnivora","Mustelidae","Meles meles","Meles meles","Meles meles","Omn","Both","CBL",10864.2612542596,10818.7221406923,538.569225610378,506.709058115018,108,6,-0.00420045338731684,0.000388360765610771,11.487,54.735,4.03600020059614,3.09447112864164,1.79239869419147,0.456516796875,-1.40017510787031,8.72486400604248,2.79009536171835,2.76371764841034,"","Island rule","SP54"
"Meiri et al 2006","ES210","CC85","Honshu","Shikoku","Mammals","Carnivora","Mustelidae","Meles meles","Meles meles","Meles meles","Omn","Male","CBL",4739.31225938684,4708.16240178328,234.939833802596,220.512968633047,4,2,-0.00659434856426447,0.00171117975179497,134.095,33.854,3.67571532403196,4.2733485687491,0.919130413860614,0.737541748046875,-1.81844145831815,14.3960962295532,2.88501752549831,3.31499994259578,"","Island rule","SP54"
"Meiri et al 2006","ES211","CC84","Jutland","Sjaelland","Mammals","Carnivora","Mustelidae","Meles meles","Meles meles","Meles meles","Omn","Both","CBL",10864.2612542596,11324.5334415907,310.214113526251,338.731176416641,108,31,0.0414928550784232,3.64099419180768e-05,11.781,55.511,4.03600020059614,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"","Island rule","SP54"
"Meiri et al 2006","ES212","CC86","Asia, 15-25N, E. of 105E","Hainan","Mammals","Carnivora","Mustelidae","Melogale moschata","Melogale moschata","Melogale moschata","Omn","Female","CBL",952.222656578334,876.431018710241,51.6043246145678,18.5806891232081,6,8,-0.0829408899852216,0.000545672240254156,109.842,19.229,2.97873851058723,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"","Island rule","SP55"
"Meiri et al 2006","ES213","CC87","China S. of 30N, E. of 110E","Taiwan","Mammals","Carnivora","Mustelidae","Melogale moschata","Melogale moschata","Melogale moschata","Omn","Female","CBL",972.309551919122,971.244542949912,53.580116212061,27.6762678859018,7,28,-0.0010959397308457,0.000462810721073867,120.66,23.776,2.98780455225952,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"","Island rule","SP55"
"Meiri et al 2006","ES214","CC88","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",106.045223776188,102.590607925257,8.73583436383282,7.54558662134491,46,26,-0.0331192546682947,0.000355590302560353,-134.336,57.622,2.02549111288693,3.63447727016073,0.755951041004132,0.558409375,-1.59266431811634,4.93829870223999,2.74498305543084,3.43367508098325,"","Island rule","SP56"
"Meiri et al 2006","ES215","CC88","NW America W. of the Rockies, 55-60N","Baranof","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Male","CBL",128.666122316335,111.643531918116,5.04390425797634,5.22897142261226,31,4,-0.141909805245533,0.000597982868892673,-134.9478,56.9513,2.10946421257765,3.61940641088678,1.87506705394619,0.377066235351563,-1.49491484498233,4.87631893157959,2.69984283152156,3.61059875032817,"","Island rule","SP56"
"Meiri et al 2006","ES216","CC89","Canada S. of 52N, E. of 65W","Cape Breton","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",101.089803314064,102.751682817531,5.01128017946133,4.81250999361301,7,13,0.0163059675160994,0.000519804205766848,-60.982,46.136,2.00470735155769,4.01199311465926,-0.0963674839157623,0.5498705078125,-1.46726447186721,4.82970857620239,2.9427299640846,3.19505647851451,"","Island rule","SP56"
"Meiri et al 2006","ES217","CC88","NW America W. of the Rockies, 55-60N","Chichagof","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Male","CBL",128.666122316335,110.270075529417,5.04390425797634,5.35819381093646,31,5,-0.154288261365536,0.000521800544004422,-135.908,57.852,2.10946421257765,3.73631680790411,0.944532020991981,0.46705810546875,-1.53866070150162,5.07158374786377,2.71570370857753,3.32315563083881,"","Island rule","SP56"
"Meiri et al 2006","ES218","CC90","Sjaelland","Falster","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",165.364435323454,151.311084751788,10.2178603754953,9.51563156487663,39,2,-0.0888138557342855,0.00207533937358267,11.945,54.835,2.21844211220818,2.71096311899528,0.602168551378997,0.54684345703125,-1.43361941036609,8.75914478302002,2.79316403016215,2.77416648338796,"","Island rule","SP56"
"Meiri et al 2006","ES219","CC91","Jutland","Fyn","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",164.510005872628,168.690642317827,8.155181875182,7.90084774986314,14,10,0.02509512431765,0.000394895347801821,10.261,55.327,2.21619231786724,3.47494433546539,-0.186419011431808,0.561219775390625,-1.36691054740253,8.33697509765625,2.78402036105908,2.80536108157804,"","Island rule","SP56"
"Meiri et al 2006","ES220","CC92","NW America W. of the Rockies, 53-58N","Graham","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Male","CBL",129.612549732285,108.181708321222,6.42522569229768,5.06683236854181,21,4,-0.18073731579551,0.000665430940687274,-132.313,53.437,2.11264705412416,3.80352539557653,1.88081930664427,0.718636279296875,-1.4955592547472,7.14643526077271,2.61294044743336,3.40125312714341,"","Island rule","SP56"
"Meiri et al 2006","ES221","CC93","Britain","Islay","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",195.447502894049,195.540682985098,9.68883275334155,9.15840466277155,147,9,0.000476638917379811,0.000260455072354354,-6.188,55.792,2.29103012610486,2.79379038469082,1.34244242103184,0.582695166015625,-2.08103429845588,8.98943614959717,2.53094095496602,3.2176286977668,"","Island rule","SP56"
"Meiri et al 2006","ES222","CC94","France N. of 46N W. of Greenwich","Jersey","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",192.549284552767,153.250727090512,9.54516065533283,7.17769904519479,2,4,-0.228276825331885,0.00177712933114697,-2.134,49.218,2.28454190927211,2.06818586174616,1.43137984884194,0.616084521484375,-1.97819850001442,11.4039030075073,2.59596216939934,2.9221283341112,"","Island rule","SP56"
"Meiri et al 2006","ES223","CC95","Alaska S. of 61N, 150-160W","Kodiak","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Male","CBL",155.005418552949,145.601845074334,6.91328998801063,5.35959732886744,13,14,-0.0625842668182157,0.00024979821587719,-153.433,57.466,2.1903468801478,3.96815593714997,0.230704313612569,0.360320385742187,-1.58689711464216,3.76066899299622,2.69471113461359,3.20101925693931,"","Island rule","SP56"
"Meiri et al 2006","ES224","CC88","NW America W. of the Rockies, 55-60N","Mitkof","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",106.045223776188,107.871015053723,8.73583436383282,7.41324245092997,46,27,0.0170705657901075,0.000322447521279055,-132.809167,56.5983,2.02549111288693,2.73239375982297,0.845160077651946,0.577709912109375,-1.47843202534781,5.46549844741821,2.72758086715248,3.49433551915776,"","Island rule","SP56"
"Meiri et al 2006","ES225","CC92","NW America W. of the Rockies, 53-58N","Moresby","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",105.654250863513,87.5904390699116,5.23755152221666,7.38434653057527,32,2,-0.187500129642883,0.00363049473547412,-131.986,52.801,2.0238869750223,3.42094540592197,2.25527491784373,0.690309033203125,-1.47829409875799,7.47664976119995,2.5930912086848,3.5126817259473,"","Island rule","SP56"
"Meiri et al 2006","ES226","CC88","NW America W. of the Rockies, 55-60N","Prince of Wales","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",106.045223776188,122.530062028688,8.73583436383282,6.51176327377941,46,25,0.144490761668531,0.000260498333138013,-132.867,55.726,2.02549111288693,3.82445127003661,0.845160077651946,0.63933564453125,-1.40447162084549,6.14069986343384,2.70336968549309,3.52471611961819,"","Island rule","SP56"
"Meiri et al 2006","ES227","CC96","Vancouver Island","Saltspring","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Male","CBL",74.6031759856547,67.3380842763675,2.16325196460549,3.15386760240469,17,2,-0.102457115033863,0.00114627972173152,-123.509,48.816,1.8727573165301,2.25837384896812,-0.22112552799726,0.7469087890625,-1.70688241960354,9.54801750183105,2.69526205451496,3.04794428285126,"","Island rule","SP56"
"Meiri et al 2006","ES228","CC91","Jutland","Sjaelland","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",164.510005872628,165.364435323454,9.49968578239344,10.2178603754953,14,39,0.00518034291175801,0.000336077670617505,11.781,55.511,2.21619231786724,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"","Island rule","SP56"
"Meiri et al 2006","ES229","CC97","Nunavut N. of 62N, E. of 98W","Southampton","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",115.114852289817,101.634117130413,5.70653773901765,4.7601673371202,6,19,-0.124551068237934,0.000525027840165359,-84.31,64.497,2.06113136056621,4.61504476676008,1.3617467179759,0.0796668334960938,-2.05221605120824,-11.9087352752686,3.16595279374313,2.40427647260145,"","Island rule","SP56"
"Meiri et al 2006","ES230","CC98","Prince of Wales","Suemez","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Male","CBL",125.394145229076,110.796828663909,5.61695043023783,5.18931496384909,24,2,-0.123763786608847,0.00118042572537493,-133.352,55.259,2.09827725934905,2.1846914308176,-0.396855627379818,0.696614013671875,-1.42424554503869,6.78790092468262,2.63937910954771,3.5287689247714,"","Island rule","SP56"
"Meiri et al 2006","ES231","CC99","NW America W. of the Rockies, 47-55N","Vancouver Island","Mammals","Carnivora","Mustelidae","Mustela erminea","Mustela erminea","Mustela erminea","Carn","Both","CBL",79.8236152917019,70.1226165504462,6.41791539147124,2.6913817721654,75,24,-0.12957401697074,0.00014757086956688,-125.415,49.552,1.90213139352669,4.49533615931354,1.00004342727686,0.642414501953125,-1.53147189003202,6.86428451538086,2.71065595970608,3.36782465258358,"","Island rule","SP56"
