"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Runemark et al. 2015","Skyros (Atsitsa)","Island of Atsitsa","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.3401651683682,62.23549622,5.73349803600213,3.63842878588039,478,36,58.39921159,64.59205657,4.24,5.41,251,227,60.04842104,64.19235296,2.87,3.14,17,19,24.4633,38.9146,-1.39794000867204,-0.85078088734462,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","Yes",0.484446630859375,0.0128849624633789,16.9893798828125,603.649963378906,405.980010986328,0.432585888671875,0.0268037719726563,16.3129196166992,638.056701660156,452.213989257812,0.45184345703125,0.0171313247680664,16.4038524627686,616.729248046875,449.447448730469,0.484446630859375,-1.85745528998426,16.9893798828125,2.78078517862134,2.60850465098595,NA,61.3401651683682,62.23549622,5.73349803600213,3.63842878588039
"Runemark et al. 2015","Skyros (KyriaPanagia)","Kotsiles","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.3401651683682,54.05358233,5.73349803600213,5.23571217692525,478,36,58.39921159,64.59205657,4.24,5.41,251,227,53.02294118,54.87809525,3.55,6.24,16,20,24.4549,38.9299,-1.09691001300806,-0.617982957425132,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","Yes",0.484446630859375,0.0128849624633789,16.9893798828125,603.649963378906,405.980010986328,0.432585888671875,0.0268037719726563,16.3129196166992,638.056701660156,452.213989257812,0.45184345703125,0.0171313247680664,16.4038524627686,616.729248046875,449.447448730469,0.484446630859375,-1.85745528998426,16.9893798828125,2.78078517862134,2.60850465098595,NA,61.3401651683682,54.05358233,5.73349803600213,5.23571217692525
"Runemark et al. 2015","Skyros (AgiosFokas)","Lakonissi","Reptiles","Squamata","Lacertidae","Podarcis gaigeae","Podarcis gaigeae","Podarcis gaigeae","","Both","SVL",61.3401651683682,54.9168833519811,5.73349803600213,6.76149295061325,478,106,58.39921159,64.59205657,4.24,5.41,251,227,52.35241379,58.1361111,6.17,6.11,59,47,24.4749,38.8489,-1.79588001734408,-0.175874166083451,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","Yes",0.471044580078125,0.011512370300293,16.8930244445801,613.954650878906,411.019989013672,0.432585888671875,0.0268037719726563,16.3129196166992,638.056701660156,452.213989257812,0.45184345703125,0.0171313247680664,16.4038524627686,616.729248046875,449.447448730469,0.471044580078125,-1.90266041126359,16.8930244445801,2.78813629361608,2.61386294330488,NA,61.3401651683682,54.9168833519811,5.73349803600213,6.76149295061325
"Sparkman et al 2018","Baja California","Santa Cruz","Reptiles","Squamata","Colubridae","Coluber constrictor","Coluber constrictor","Coluber constrictor mormon","","Both","SVL",506.984126995238,479.793814412371,95.3375145567673,55.6617272303237,63,97,476.8787879,540.1,66.96396306,110.9878372,33,30,442.6829268,506.9642857,29.20825142,54.85483795,41,56,-119.741,33.997,2.46834733041216,1.48573561887981,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015","","Island rule","Yes",0.38126806640625,0.0133786880493164,15.2632083892822,234.664138793945,393,0.343859057617187,0.0190821517944336,14.96120262146,226.976181030273,386.160003662109,0.3116236328125,0.0216751724243164,15.2855920791626,229.899154663086,326.975006103516,0.38126806640625,-1.84228073835755,15.2632083892822,2.37044672609679,2.59439255037543,NA,506.984126995238,479.793814412371,95.3375145567673,55.6617272303237
"Sparkman et al 2018","Baja California","Santa Cruz","Reptiles","Squamata","Anguidae","Elgaria multicarinata","Elgaria multicarinata","Elgaria multicarinata multicarinata","","Both","SVL",116.538461538462,96.8297872353192,15.0200720309987,6.84397274973892,13,47,119.4285714,113.1666667,8.997354108,20.46867525,7,6,98.16666667,96,6.653172618,6.943650748,18,29,-119.741,33.997,2.46834733041216,1.48573561887981,"LOG10(Weight, g)= LOG10(SVL, mm)*3.48-5.765, Feldman et al 2015","","Island rule","Yes",0.38126806640625,0.0133786880493164,15.2632083892822,234.664138793945,393,0.343859057617187,0.0190821517944336,14.96120262146,226.976181030273,386.160003662109,0.3116236328125,0.0216751724243164,15.2855920791626,229.899154663086,326.975006103516,0.38126806640625,-1.84228073835755,15.2632083892822,2.37044672609679,2.59439255037543,NA,116.538461538462,96.8297872353192,15.0200720309987,6.84397274973892
"Sparkman et al 2018","Baja California","Santa Rosa","Reptiles","Squamata","Anguidae","Elgaria multicarinata","Elgaria multicarinata","Elgaria multicarinata multicarinata","","Both","SVL",116.538461538462,90.23076923,15.0200720309987,11.85304691,13,52,119.4285714,113.1666667,8.997354108,20.46867525,7,6,NA,NA,NA,NA,NA,NA,-120.098,33.965,2.33645973384853,1.63949645003697,"LOG10(Weight, g)= LOG10(SVL, mm)*3.48-5.765, Feldman et al 2015","","Island rule","Yes",0.36104130859375,0.0259797760009766,14.5585317611694,213.784240722656,409.339996337891,0.343816333007813,0.0246488983154297,14.3967361450195,194.3076171875,406.959991455078,0.343816333007813,0.0246488983154297,14.3967361450195,194.3076171875,406.959991455078,0.36104130859375,-1.56896166036996,14.5585317611694,2.32997568768546,2.61208418134256,NA,116.538461538462,90.23076923,15.0200720309987,11.85304691
"Sparkman et al 2018","Baja California","Santa Cruz","Reptiles","Squamata","Colubridae","Pituophis catenifer","Pituophis catenifer","Pituophis catenifer pumilis","","Both","SVL",836.41666665,624.066666653333,246.396310502463,102.519266463016,48,45,824.4583333,848.375,210.9044661,281.5719558,24,24,614.4827586,641.4375,93.17212209,118.8522717,29,16,-119.741,33.997,2.46834733041216,1.48573561887981,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015","","Island rule","Yes",0.38126806640625,0.0133786880493164,15.2632083892822,234.664138793945,393,0.343859057617187,0.0190821517944336,14.96120262146,226.976181030273,386.160003662109,0.3116236328125,0.0216751724243164,15.2855920791626,229.899154663086,326.975006103516,0.38126806640625,-1.84228073835755,15.2632083892822,2.37044672609679,2.59439255037543,NA,836.41666665,624.066666653333,246.396310502463,102.519266463016
"Uller et al. 2019","France","Bananec","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,5.19881355932203,0.407101582611262,1.52006531704688,77,59,5,4.37,0.07,0.37,41,36,5.71,4.67,1.71,1.09,30,29,-3.991,47.7128,-1.52287874528034,1.10724389757897,"Weight","","Island rule","Yes",0.384717846679688,0.079008251953125,12.4887914657593,352.014739990234,956.700012207031,0.6417759765625,0.0184161773681641,11.8226432800293,412.115142822266,994.5625,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,NA,4.70545454545455,5.19881355932203,0.407101582611262,1.52006531704688
"Uller et al. 2019","France","Bas de voile","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,6.80761904761905,0.407101582611262,1.60667680902651,77,63,5,4.37,0.07,0.37,41,36,7.04,6.43,1.74,1.31,39,24,-4.01,47.717,-1,1.14615905560482,"Weight","","Island rule","Yes",0.428256494140625,0.0677188354492188,NA,NA,NA,0.594694677734375,0.0182433746337891,11.9824333190918,389.698913574219,1025.05541992188,0.59754853515625,0.0177937744140625,11.9824333190918,389.698913574219,1025.05541992188,0.428256494140625,-1.16292420893036,11.9824333190918,2.59072919504242,3.01074734628505,NA,4.70545454545455,6.80761904761905,0.407101582611262,1.60667680902651
"Uller et al. 2019","France","Belle ile","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,4.96195020746888,0.407101582611262,1.1778396244157,77,241,5,4.37,0.07,0.37,41,36,5.61,4.47,1.21,0.88,104,137,-3.188,47.334,1.93262594402178,1.11397675828985,"Weight","","Island rule","Yes",0.63315283203125,0.0125219795227051,12.4045915603638,392.484008789062,896.369995117188,0.54780390625,0.0405468109130859,12.4299573898315,393.74169921875,891.226257324219,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.63315283203125,-1.86895972608241,12.4045915603638,2.59382196672166,2.95248731063285,NA,4.70545454545455,4.96195020746888,0.407101582611262,1.1778396244157
"Uller et al. 2019","France","Cigogne","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,5.86102040816326,0.407101582611262,1.75550710254184,77,49,5,4.37,0.07,0.37,41,36,6.45,5.34,2,1.34,23,26,-3.9937,47.7168,-1.69897000433602,1.12388429346001,"Weight","","Island rule","Yes",0.384717846679688,0.079008251953125,12.4887914657593,352.014739990234,956.700012207031,0.6417759765625,0.0184161773681641,11.8226432800293,412.115142822266,994.5625,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,NA,4.70545454545455,5.86102040816326,0.407101582611262,1.75550710254184
"Uller et al. 2019","France","Guootec","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,7.86380952380952,0.407101582611262,1.23708720869014,77,21,5,4.37,0.07,0.37,41,36,7.89,7.84,1.52,0.99,10,11,-3.9661,47.7129,-1.05551732784983,1.08102308645133,"Weight","","Island rule","Yes",0.384717846679688,0.079008251953125,12.4887914657593,352.014739990234,956.700012207031,0.6417759765625,0.0184161773681641,11.8226432800293,412.115142822266,994.5625,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,NA,4.70545454545455,7.86380952380952,0.407101582611262,1.23708720869014
"Uller et al. 2019","France","Loch","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,5.88671641791045,0.407101582611262,1.30825339040808,77,67,5,4.37,0.07,0.37,41,36,6.36,4.85,1.11,1.11,46,21,-3.996,47.704,-0.370590400897281,1.14832496303882,"Weight","","Island rule","Yes",0.384717846679688,0.079008251953125,12.4887914657593,352.014739990234,956.700012207031,0.6417759765625,0.0184161773681641,11.8226432800293,412.115142822266,994.5625,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,NA,4.70545454545455,5.88671641791045,0.407101582611262,1.30825339040808
"Uller et al. 2019","France","Penfret Somaphore","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,6.00946666666667,0.407101582611262,1.48173965810949,77,75,5,4.37,0.07,0.37,41,36,6.46,5.37,1.61,0.99,44,31,-3.9559,47.718,-0.405607449624573,1.02942436405802,"Weight","","Island rule","Yes",0.384717846679688,0.079008251953125,12.4887914657593,352.014739990234,956.700012207031,0.6417759765625,0.0184161773681641,11.8226432800293,412.115142822266,994.5625,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,NA,4.70545454545455,6.00946666666667,0.407101582611262,1.48173965810949
"Uller et al. 2019","France","Saint Nicolas","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,6.48791666666667,0.407101582611262,1.9486968831128,77,72,5,4.37,0.07,0.37,41,36,7.18,5.67,1.98,1.58,39,33,-3.999,47.7239,-0.452225294612177,1.11397675828985,"Weight","","Island rule","Yes",0.384717846679688,0.079008251953125,12.4887914657593,352.014739990234,956.700012207031,0.6417759765625,0.0184161773681641,11.8226432800293,412.115142822266,994.5625,0.625735546875,0.0196479141235352,11.9633865356445,413.213562011719,948.573669433594,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,NA,4.70545454545455,6.48791666666667,0.407101582611262,1.9486968831128
"Uller et al. 2019","France","Yeu","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","","Both","Weight",4.70545454545455,4.91512605042017,0.407101582611262,1.33265598864742,77,476,5,4.37,0.07,0.37,41,36,5.35,4.45,1.4,1.08,246,230,-2.3533,46.7096,1.36772854608698,1.23807120613056,"Weight","","Island rule","Yes",0.44063564453125,0.0204608337402344,12.7811040878296,431.774017333984,809.299987792969,0.463174658203125,0.027504248046875,12.7026748657227,464.939605712891,780.317504882812,0.463174658203125,0.027504248046875,12.7026748657227,464.939605712891,780.317504882812,0.44063564453125,-1.66835340996794,12.7811040878296,2.63525650444567,2.9081095338419,NA,4.70545454545455,4.91512605042017,0.407101582611262,1.33265598864742
"Vanek and Burke 2020","Long island (360000 ha)","Jones","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","","Both","SVL",560.741935483871,510.347826086957,81.1924444449484,74.2760976124948,31,92,516,589,65.8179,78.5,12,19,481,556,59.9,72,56,36,-73.444,40.609,1.60205999132796,0.602168551378997,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015","","Island rule","Yes",0.407963110351563,0.0148614929199219,11.7142314910889,859.615478515625,1051.07995605469,0.469008203125,0.0207700271606445,11.4089193344116,854.116760253906,1069.16284179688,0.412422705078125,0.0212490814208984,11.5758867263794,867.239440917969,1104.44787597656,0.407963110351563,-1.79965593830655,11.7142314910889,2.93430422693737,3.02163575423239,NA,560.741935483871,510.347826086957,81.1924444449484,74.2760976124948
"Vanek and Burke 2020","Cape Cod National Seashore,in Massachusetts","Jones","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","","Both","SVL",569.132352941176,510.347826086957,90.2066854609109,74.2760976124948,68,92,504,607,55,85.2,25,43,481,556,59.9,72,56,36,-73.444,40.609,1.60205999132796,0.602168551378997,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015","","Island rule","Yes",0.407963110351563,0.0148614929199219,11.7142314910889,859.615478515625,1051.07995605469,0.469008203125,0.0207700271606445,11.4089193344116,854.116760253906,1069.16284179688,0.412422705078125,0.0212490814208984,11.5758867263794,867.239440917969,1104.44787597656,0.407963110351563,-1.79965593830655,11.7142314910889,2.93430422693737,3.02163575423239,NA,569.132352941176,510.347826086957,90.2066854609109,74.2760976124948
"Vanek and Burke 2020","Cape Cod National Seashore,in Massachusetts","Long island","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","","Both","SVL",569.132352941176,560.741935483871,90.2066854609109,81.1924444449484,68,31,504,607,55,85.2,25,43,516,589,65.8179,78.5,12,19,-70.16,43.6878,0.778151250383644,0.699056854547668,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015","","Island rule","Yes",0.524057861328125,0.0397044616699219,7.8782262802124,835.32080078125,1146.93005371094,0.5694806640625,0.04305087890625,7.54236316680908,942.41943359375,1154.07421875,0.58695078125,0.0385708892822266,7.56808710098267,947.966735839844,1157.31176757812,0.524057861328125,-1.39035798457263,7.8782262802124,2.92185329614552,3.0595369329722,NA,569.132352941176,560.741935483871,90.2066854609109,81.1924444449484
"Andrews 1979","Costa Rica","Dominica","Reptiles","Squamata","Dactyloidae","Anolis humilis","Anolis humilis","Anolis oculatus","","Both","SVL",38.5,71,2.121,11.314,2,2,37,40,NA,NA,1,1,79,63,NA,NA,1,1,-61.339,15.428,2.89614025144202,3.3802114226676,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015","","Island rule","Yes",0.812613134765625,0.022816325378418,24.4020118713379,105.579360961914,1942.84997558594,0.769531689453125,0.0149729385375977,25.6534252166748,105.098152160645,1984.53002929688,0.681820166015625,0.0320483245849609,25.9346733093262,105.970428466797,1829.05004882812,0.812613134765625,-1.62312524499359,24.4020118713379,2.02357902902737,3.28843926622474,NA,38.5,71,2.121,11.314
"Andrews 1979","Costa Rica","Dominica","Reptiles","Squamata","Dactyloidae","Anolis limifrons","Anolis limifrons","Anolis oculatus","","Both","SVL",40,71,1.414,11.314,2,2,39,41,NA,NA,1,1,79,63,NA,NA,1,1,-61.339,15.428,2.89614025144202,3.3802114226676,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015","","Island rule","Yes",0.812613134765625,0.022816325378418,24.4020118713379,105.579360961914,1942.84997558594,0.769531689453125,0.0149729385375977,25.6534252166748,105.098152160645,1984.53002929688,0.681820166015625,0.0320483245849609,25.9346733093262,105.970428466797,1829.05004882812,0.812613134765625,-1.62312524499359,24.4020118713379,2.02357902902737,3.28843926622474,NA,40,71,1.414,11.314
"Bertolero et al. 2007","France","Corsica","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni","Herbivorous","Female","Weight",893,1048,206.456,239.023,74,27,NA,893,NA,206.4558064,NA,74,NA,1048,NA,239.0230114,NA,27,9.12,42.1,3.93856975622106,1.90417978339357,"Weight","","Island rule","Yes",0.56302255859375,0.0209608901977539,7.30105781555176,569.6396484375,927.929992675781,0.627191943359375,0.0109449867248535,12.0827579498291,607.164123535156,802.873596191406,0.5999439453125,0.0134107208251953,13.6546411514282,590.434631347656,807.852294921875,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,NA,893,1048,206.456,239.023
"Case 2002","Baja California","Angel de la Guarda","Reptiles","Squamata","Phrynosomatidae","Petrosaurus mearnsi","Petrosaurus mearnsi mearnsi","Petrosaurus mearnsi slevini","","Both","SVL",73.6,90.3,NA,NA,55,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.401,29.287,2.96851563615574,1.08353845123014,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","","Island rule","Yes",0.116362854003906,0.0113551162719727,20.8971824645996,495.326049804688,82.6500015258789,0.101530786132813,0.0138449752807617,20.8603477478027,518.146240234375,92.8088226318359,0.107102893066406,0.0148706741333008,20.4840106964111,502.360076904297,98.3628921508789,0.116362854003906,-1.90815316316854,20.8971824645996,2.69489116866272,1.91724286592538,NA,73.6,90.3,NA,NA
"Case 2002","Baja California","Mejia","Reptiles","Squamata","Phrynosomatidae","Petrosaurus mearnsi","Petrosaurus mearnsi mearnsi","Petrosaurus mearnsi slevini","","Both","SVL",73.6,91.2,NA,NA,55,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.571,29.557,0.389166084364532,1.43137984884194,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","","Island rule","Yes",0.131699792480469,0.0175888748168945,20.887996673584,521.537292480469,85,0.0834234069824219,0.0390254943847656,21.1235332489014,514.853576660156,89.5,0.107102893066406,0.0148706741333008,20.4840106964111,502.360076904297,98.3628921508789,0.131699792480469,-1.73074689724278,20.887996673584,2.71728536806346,1.92941892571429,NA,73.6,91.2,NA,NA
"Case 2002","Baja California Middle","Danzante","Reptiles","Squamata","Phrynosomatidae","Petrosaurus thalassinus","Petrosaurus thalassinus repens","Petrosaurus thalassinus repens","","Both","SVL",106.5,84.4,NA,NA,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.251,25.786,0.690196080028514,0.301247088636211,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","","Island rule","Yes",0.261107568359375,0.031800341796875,22.5105724334717,496.561126708984,224.75,0.262734252929687,0.0315593475341797,22.1610660552979,488.969329833984,245.374588012695,0.249917578125,0.0357376403808594,21.9080295562744,460.073913574219,207.269790649414,0.261107568359375,-1.484121630687,22.5105724334717,2.69597271780295,2.35169970040527,NA,106.5,84.4,NA,NA
"Case 2002","Baja California Sur","Espiritu Santo","Reptiles","Squamata","Phrynosomatidae","Petrosaurus thalassinus","Petrosaurus thalassinus thalassinus","Petrosaurus thalassinus thalassinus","","Both","SVL",107,103.4,NA,NA,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.342,24.482,1.92469270302019,0.788945727023748,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","","Island rule","Yes",0.181266198730469,0.018506103515625,22.5944213867188,448.697174072266,232.5,0.222448681640625,0.0232047622680664,22.8050727844238,455.983489990234,247.756362915039,0.2188611328125,0.0268884399414063,22.3493309020996,434.399627685547,219.366622924805,0.181266198730469,-1.70982947538602,22.5944213867188,2.65195333432317,2.36642295722597,NA,107,103.4,NA,NA
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Babina Guzica","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,59.1,8.398,3.518,70,26,53.67,49.67,8.398088018,7.035719634,70,67,59.1,NA,3.52,NA,26,NA,15.498,43.709,-1.93181413825384,1.17612021105609,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",0.348023657226563,0.0213229873657227,15.5128860473633,556.571228027344,712.400024414062,0.5117853515625,0.0144333038330078,15.4642705917358,598.740173339844,766.890747070312,0.509038671875,0.0131686111450195,15.2380743026733,626.622802734375,745.06787109375,0.348023657226563,-1.65124768654301,15.5128860473633,2.7455207517071,2.85272392567455,NA,53.671,59.1,8.398,3.518
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Bisevo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,48.9,8.398,9.766,70,14,53.67,49.67,8.398088018,7.035719634,70,67,48.9,NA,9.77,NA,14,NA,16.01,42.975,0.763427993562937,1.73240180223891,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",0.57154384765625,0.0140597854614258,16.0975685119629,591.404541015625,542,0.59009853515625,0.0131414962768555,16.0975685119629,591.404541015625,542,0.62523525390625,0.0121822372436523,16.4580402374268,606.61865234375,637.978759765625,0.57154384765625,-1.82218121496019,16.0975685119629,2.77188465487129,2.73399928653839,NA,53.671,48.9,8.398,9.766
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Brusnik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis melisellensis","","Male","SVL",53.671,61.8,8.398,4.83,70,20,53.67,49.67,8.398088018,7.035719634,70,67,61.8,NA,4.83,NA,20,NA,15.8,43.006,-1.2839966563652,1.75282410416787,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",NA,NA,NA,NA,NA,0.5171173828125,0.0316731597900391,15.9186115264893,593.538513183594,593.75,0.509038671875,0.0131686111450195,15.2380743026733,626.622802734375,745.06787109375,0.509038671875,-1.8486727186739,15.2380743026733,2.79700619476133,2.87219583610254,NA,53.671,61.8,8.398,4.83
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Cavlin","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","","Male","SVL",53.671,60.9,8.398,4.093,70,29,53.67,49.67,8.398088018,7.035719634,70,67,60.9,NA,4.09,NA,29,NA,15.582,43.735,-0.85078088734462,0.977769318091574,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",0.501795458984375,0.013907666015625,15.6089668273926,593.7080078125,737.650024414062,0.506189208984375,0.00984045867919922,15.0510482788086,645.259399414062,745.891296386719,0.509038671875,0.0131686111450195,15.2380743026733,626.622802734375,745.06787109375,0.501795458984375,-1.8265903455396,15.6089668273926,2.77357290664094,2.86785036112354,NA,53.671,60.9,8.398,4.093
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Ciovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis traguriana","","Male","SVL",53.671,49,8.398,12.301,70,10,53.67,49.67,8.398088018,7.035719634,70,67,49,NA,12.3,NA,10,NA,16.305,43.499,1.45939248775923,-0.696803942579511,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",0.529269677734375,0.00908219833374023,16.1834087371826,624.452331542969,751.97998046875,0.554350830078125,0.0179373641967773,16.1919631958008,608.222717285156,697.08056640625,0.532419189453125,0.0137327056884766,13.2977352142334,663.295288085938,849.572387695312,0.529269677734375,-1.99644476351345,16.1834087371826,2.79549929148839,2.87620627877291,NA,53.671,49,8.398,12.301
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Grebeni","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","","Male","SVL",53.671,62.3,8.398,3.989,70,15,53.67,49.67,8.398088018,7.035719634,70,67,62.3,NA,3.99,NA,15,NA,16.266,43.05,-1.34008379993015,1.68395612226261,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",0.55171591796875,0.00970800933837891,16.4154796600342,613.580017089844,622,0.554350830078125,0.0179373641967773,16.1919631958008,608.222717285156,697.08056640625,0.532419189453125,0.0137327056884766,13.2977352142334,663.295288085938,849.572387695312,0.55171591796875,-1.97029125873981,16.4154796600342,2.78787120718452,2.79379038469082,NA,53.671,62.3,8.398,3.989
"Clover 1979, Stamenkovic and Matic 2013","Croatia, Montenegro","Jabuka","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis pomoensis","","Male","SVL",53.671,63.5,8.398,10.409,70,8,53.67,49.67,8.398088018,7.035719634,70,67,63.5,NA,10.41,NA,8,NA,15.458,43.075,-2,1.79934744296208,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","","Island rule","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509038671875,0.0131686111450195,15.2380743026733,626.622802734375,745.06787109375,0.509038671875,-1.8486727186739,15.2380743026733,2.79700619476133,2.87219583610254,NA,53.671,63.5,8.398,10.409
