"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type"
"Delaugerre 2009, Delaugerre and Dubois 1985","ES104","CC47","Corsica (South)","Toro Grande island","Reptiles","Squamata","Gekkonidae","Euleptes europaea","Phyllodactylus europaeus","Phyllodactylus europaeus","Carnivorous","Both","SVL",1.39419275954638,1.57059743876194,0.0743063527715413,0.0690187879799529,49,70,0.119140500429574,8.55580668792352e-05,9.381,41.5092,0.144322822987192,-1.79860287567955,0.801472313521471,0.60727841796875,-1.81022573882352,17.0181884765625,2.75864026998072,2.69152352216815,"Conspecific","No island rule"
"Delaugerre 2009, Delaugerre and Dubois 1985","ES105","CC47","Corsica (South)","Toro Grande island","Reptiles","Squamata","Gekkonidae","Euleptes europaea","Phyllodactylus europaeus","Phyllodactylus europaeus","Carnivorous","Both","SVL",1.39419275954638,1.69293117107167,0.0743063527715413,0.104940440319731,49,67,0.19414586652756,0.000115320775721453,9.381,41.5092,0.144322822987192,-1.79860287567955,0.801472313521471,0.60727841796875,-1.81022573882352,17.0181884765625,2.75864026998072,2.69152352216815,"Conspecific","No island rule"
"Delaugerre 2009, Delaugerre and Dubois 1985","ES106","CC47","Corsica (South)","Toro Piccolo island","Reptiles","Squamata","Gekkonidae","Euleptes europaea","Phyllodactylus europaeus","Phyllodactylus europaeus","Carnivorous","Both","SVL",1.39419275954638,1.38294646245151,0.0743063527715413,0.0629779398982557,49,19,-0.00809924002607689,0.000167118107330693,9.3803,41.508,0.144322822987192,-1.31875876262441,0.81298016603948,0.60727841796875,-1.81022573882352,17.0181884765625,2.75864026998072,2.69152352216815,"Conspecific","No island rule"
"Oneto et al. 2008, Delaugerre and Dubois 1985","ES107","CC48","Tuscany, Italy","Isola del Tino","Reptiles","Squamata","Gekkonidae","Euleptes europaea","Phyllodactylus europaeus","Phyllodactylus europaeus","Carnivorous","Both","SVL",1.23489167897312,1.55762936399914,0.111518669144814,0.107158474555991,11,59,0.232181770077981,0.000821604792976281,9.8506,44.0271,0.0916288642455357,-0.875821944525325,0.389343311252078,0.65003642578125,-1.92415051049375,14.7134876251221,2.77964554007593,2.99298184461332,"Conspecific","No island rule"
"Hasegawa 1994","ES108","CC49","Oh-shima","Aogashima","Reptiles","Squamata","Scincidae","Eumeces okadae","Eumeces okadae","Eumeces okadae","Carnivorous","Both","SVL",8.1971268888107,12.6831599486419,3.65438389254064,3.33624323619821,52,115,0.436491411808574,0.0044237726764509,139.769,32.458,0.913661657873466,0.776701183988411,2.39192438278577,0.616328369140625,-1.54695078238709,18.935417175293,2.74455081477185,3.39794000867204,"Conspecific","No island rule"
"Hasegawa 1994","ES109","CC49","Oh-shima","Shikine","Reptiles","Squamata","Scincidae","Eumeces okadae","Eumeces okadae","Eumeces okadae","Carnivorous","Both","SVL",8.1971268888107,11.1734258364815,3.65438389254064,2.93911505674225,52,71,0.30975455237321,0.00479664226303221,139.21,34.3261,0.913661657873466,0.591064607026499,1.61910377027247,0.653934423828125,-1.97802925173508,16.8583812713623,2.79101858420132,3.37060560093815,"Conspecific","No island rule"
"Hasegawa 1994","ES110","CC49","Oh-shima","Toshima","Reptiles","Squamata","Scincidae","Eumeces okadae","Eumeces okadae","Eumeces okadae","Carnivorous","Both","SVL",8.1971268888107,10.4375999295839,3.65438389254064,2.74555964824412,52,95,0.241630950763347,0.00455044129198809,139.281,34.524,0.913661657873466,0.615508171528163,1.29448827100726,0.59581162109375,-1.40981091157493,16.4946422576904,2.787149411266,3.34693946269899,"Conspecific","No island rule"
"Bischoff 1985","ES111","CC50","Lanzarote","Alegranza","Reptiles","Squamata","Lacertidae","Gallotia atlantica","Gallotia atlantica","Gallotia atlantica","Omnivorous","Both","SVL",7.61694304126884,4.84121818641687,1.98047166836771,0.544295287431985,38,20,-0.453208733051541,0.00241108537303975,-13.509,29.392,0.881780707995232,1.01283722470517,1.00004342727686,0.140963720703125,-1.92056201343812,19.2981548309326,2.28581742772688,2.21240070765636,"Conspecific","No island rule"
"Bischoff 1985","ES112","CC50","Lanzarote","Graciosa","Reptiles","Squamata","Lacertidae","Gallotia atlantica","Gallotia atlantica","Gallotia atlantica","Omnivorous","Both","SVL",7.61694304126884,5.52896070391118,1.98047166836771,0.858466423865283,38,19,-0.320375253457749,0.00304790434320789,-28.014,39.054,0.881780707995232,1.78168358450735,3.21085363257295,0.674199951171875,-1.76280568271573,17.3302097320557,2.48660354134662,3.05354706361125,"Conspecific","No island rule"
"Bischoff 1985","ES113","CC51","Fuerteventura","Lobos","Reptiles","Squamata","Lacertidae","Gallotia atlantica","Gallotia atlantica","Gallotia atlantica","Omnivorous","Both","SVL",4.94864365072204,2.34076852909448,0.737707368268522,0.338457410513165,34,5,-0.748634222393035,0.00483500158553105,-13.822,28.751,0.694486181615353,3.67015304519218,0.278982116865443,0.104208044433594,-1.7893456884336,20.1467323303223,2.38076238032915,2.11695137113434,"Conspecific","No island rule"
"Bischoff 1985","ES114","CC50","Lanzarote","Montaña Clara","Reptiles","Squamata","Lacertidae","Gallotia atlantica","Gallotia atlantica","Gallotia atlantica","Omnivorous","Both","SVL",7.61694304126884,4.19517684740788,1.98047166836771,0.396000022802203,38,18,-0.59643961777671,0.00227408067367794,-13.534,29.298,0.881780707995232,0.205556205693917,0.913866811896239,0.123038195800781,-2.00821479246547,19.2998390197754,2.30041429344899,2.19451434188247,"Conspecific","No island rule"
"Bischoff 1985","ES115","CC50","Lanzarote","Roque del Este","Reptiles","Squamata","Lacertidae","Gallotia atlantica","Gallotia atlantica","Gallotia atlantica","Omnivorous","Both","SVL",7.61694304126884,5.11583734943208,1.98047166836771,0.632975591260082,38,13,-0.398034022835312,0.00295666495801578,-13.338,29.276,0.881780707995232,-1.22184874961636,1.04143216468027,0.0731712341308594,-1.10956366390554,19.4423389434814,2.33655350679794,2.17805079664571,"Conspecific","No island rule"
"Okada et al 2002, Kohno & Ota 1991","ES116","CC52","Taiwan","Okinawajima","Reptiles","Squamata","Gekkonidae","Gekko hokouensis","Gekko hokouensis","Gekko hokouensis","Carnivorous","Both","SVL",3.90079994832052,3.02730775837084,0.197465006264893,0.197077748399823,25,32,-0.253507951101097,0.000234939967848572,127.9278,26.4794,0.591153678184567,3.08170007377456,2.76342874234588,0.483222998046875,-1.49092461609625,22.8974323272705,2.65055307551962,3.3202200942349,"Conspecific","No island rule"
"Kohno & Ota 1991","ES117","CC53","Taiwan","Iriomotejima","Reptiles","Squamata","Gekkonidae","Gekko hokouensis","Gekko hokouensis","Gekko hokouensis","Carnivorous","Unsexed","SVL",3.90079994832052,3.37086539488153,0.197465006264893,0.164124532335056,25,22,-0.146012141924588,0.00021025814722158,123.815,24.337,0.591153678184567,2.45331834004704,2.26717407593441,0.742394873046875,-1.35998830432941,22.6836738586426,2.59310974461811,3.36995760734605,"Conspecific","Island rule"
"Kohno & Ota 1991","ES118","CC53","Taiwan","Nakanokamishima","Reptiles","Squamata","Gekkonidae","Gekko hokouensis","Gekko hokouensis","Gekko hokouensis","Carnivorous","Unsexed","SVL",3.90079994832052,4.25490924779817,0.197465006264893,0.237278932235216,25,47,0.0868917863744417,0.000168668901807248,123.563,24.195,0.591153678184567,-0.455931955649724,1.16734687758564,0.602173828125,-1.4483378470854,23.2566528320312,2.58896810028277,3.36139523886004,"Conspecific","Island rule"
"Kohno & Ota 1991","ES119","CC53","Taiwan","Okinawajima","Reptiles","Squamata","Gekkonidae","Gekko hokouensis","Gekko hokouensis","Gekko hokouensis","Carnivorous","Unsexed","SVL",3.90079994832052,3.51214170491073,0.197465006264893,0.301318430402858,25,32,-0.104955623318822,0.000332517770730475,127.9278,26.4794,0.591153678184567,3.08170007377456,2.76342874234588,0.483222998046875,-1.49092461609625,22.8974323272705,2.65055307551962,3.3202200942349,"Conspecific","Island rule"
"Kohno & Ota 1991","ES120","CC53","Taiwan","Orchid","Reptiles","Squamata","Gekkonidae","Gekko hokouensis","Gekko hokouensis","Gekko hokouensis","Carnivorous","Unsexed","SVL",3.90079994832052,4.17451878921482,0.197465006264893,0.295906097883685,25,48,0.0678174445351758,0.000207179736360497,121.55,22.05,0.591153678184567,1.67024585307412,1.95424733490676,0.6460296875,-1.38513636967053,23.7635555267334,2.42286900769809,3.43482431185182,"Conspecific","Island rule"
"Kim et al. 2019","ES121","CC54","Honshu","Innoshima","Reptiles","Squamata","Gekkonidae","Gekko japonicus","Gekko japonicus","Gekko japonicus","Omnivorous","Both","SVL",4.09090131794889,4.77886800947059,0.291036009547452,0.509706871101365,23,29,0.155438383441935,0.000612330216701007,133.179,34.318,0.611819003432092,1.54654266347813,0.531606631932722,0.6238392578125,-2.13291972355575,15.6415958404541,2.91405551815454,3.1348653218485,"Conspecific","No island rule"
"Kim et al. 2019","ES122","CC54","Honshu","Kyushu","Reptiles","Squamata","Gekkonidae","Gekko japonicus","Gekko japonicus","Gekko japonicus","Omnivorous","Both","SVL",4.09090131794889,4.42723665171772,0.291036009547452,0.456038713317317,23,67,0.0790102918611167,0.000378419598022338,131.0378,32.746,0.611819003432092,4.56489084517638,-0.045275209020937,0.742241845703125,-2.06316151198134,14.0496435165405,2.88731074522209,3.39533360382983,"Conspecific","No island rule"
"Kim et al. 2019","ES123","CC55","Korea","Tsushima","Reptiles","Squamata","Gekkonidae","Gekko japonicus","Gekko japonicus","Gekko japonicus","Omnivorous","Both","SVL",4.00563102965404,5.32855133044817,0.404526734632325,0.455845019641475,95,29,0.285378277249676,0.000359715261906115,129.3333,34.4167,0.602670942669695,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"Conspecific","No island rule"
"Cole et al 1990","ES124","CC56","Venezuela","Trinidad","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus speciosus","Gymnophthalmus speciosus","Gymnophthalmus speciosus","Carnivorous","Both","SVL",0.646160254635055,0.582427981310372,0.107204203164458,0.068575190423604,34,12,-0.103842004647541,0.00196481798052224,-61.246,10.431,-0.189659758982464,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"Conspecific","No island rule"
"Cole et al 1990","ES125","CC57","N. Guyana","Barbados","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Carnivorous","Female","SVL",0.692583332033123,0.658634560100862,0.130565558667272,0.0996033245796703,30,38,-0.050259722222195,0.00178648679924697,-59.552,13.164,-0.159527964552576,2.63346845557959,2.55630370713917,0.57767216796875,-1.6556066768217,26.4149131774902,1.84016601888272,3.21756814872168,"Conspecific","No island rule"
"Cole et al 1990","ES126","CC57","N. Guyana","Dominica","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Carnivorous","Female","SVL",0.692583332033123,0.484218965621215,0.130565558667272,0.0515195936485872,30,6,-0.357891353168549,0.00307138625839681,-61.339,15.428,-0.159527964552576,2.89614025144202,2.70757102765491,0.812613134765625,-1.62312524499359,24.4020118713379,2.02357902902737,3.28843926622474,"Conspecific","No island rule"
"Cole et al 1990","ES127","CC57","N. Guyana","Grenada","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Carnivorous","Female","SVL",0.692583332033123,0.528637624221977,0.130565558667272,0.169025380702056,30,2,-0.270125389137388,0.0523007550967553,-61.664,12.116,-0.159527964552576,2.54220278243403,2.1398822334513,0.745826416015625,-1.85387939587705,26.045072555542,1.88394374068341,3.26385847014274,"Conspecific","No island rule"
"Cole et al 1990","ES128","CC57","N. Guyana","Guadeloupe","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Carnivorous","Female","SVL",0.692583332033123,0.588059741421681,0.130565558667272,0.121719032192678,30,23,-0.163600022092823,0.00304736942029851,-61.674,16.181,-0.159527964552576,3.15715443990628,2.76042323740603,0.708455078125,-1.76707950380516,26.0267562866211,2.0405676475702,3.18199514100944,"Conspecific","No island rule"
"Cole et al 1990","ES129","CC57","N. Guyana","Saint Vincent","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Carnivorous","Female","SVL",0.692583332033123,0.756734238453839,0.130565558667272,0.108613620107492,30,27,0.0885835538538407,0.00194764371776022,-61.187,13.247,-0.159527964552576,2.53781909507327,2.43457050070215,0.672155712890625,-1.81273267786723,25.7361221313477,1.92628089303743,3.31962648415564,"Conspecific","No island rule"
"Cole et al 1990","ES130","CC57","N. Guyana","Trinidad","Reptiles","Squamata","Gymnophthalmidae","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Gymnophthalmus underwoodi","Carnivorous","Female","SVL",0.692583332033123,0.809408807400786,0.130565558667272,0.111031294617514,30,49,0.155875547889467,0.00156867957362934,-61.246,10.431,-0.159527964552576,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"Conspecific","No island rule"
"Vanek and Burke 2020","ES131","CC58","Long island (360000 ha)","Jones","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","Carnivorous","Both","SVL",49.9745922677261,39.0186784013234,7.23605467968965,5.67878418894926,31,92,-0.247474256783407,0.000906544770277569,-73.444,40.609,1.69874925948652,1.60205999132796,0.602168551378997,0.407963110351563,-1.79965593830655,11.7142314910889,2.93430422693737,3.02163575423239,"Conspecific","Island rule"
"Vanek and Burke 2020","ES132","CC59","Cape Cod National Seashore,in Massachusetts","Jones","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","Carnivorous","Both","SVL",51.9637500033552,39.0186784013234,8.23618201934577,5.67878418894926,68,92,-0.286505895318532,0.000599676778923522,-73.444,40.609,1.71570048472197,1.60205999132796,0.602168551378997,0.407963110351563,-1.79965593830655,11.7142314910889,2.93430422693737,3.02163575423239,"Conspecific","Island rule"
"Vanek and Burke 2020","ES133","CC59","Cape Cod National Seashore,in Massachusetts","Long island","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","Carnivorous","Both","SVL",51.9637500033552,49.9745922677261,8.23618201934577,7.23605467968965,68,31,-0.0390316385351245,0.00104574471487725,-70.16,43.6878,1.71570048472197,0.778151250383644,0.699056854547668,0.524057861328125,-1.39035798457263,7.8782262802124,2.92185329614552,3.0595369329722,"Conspecific","Island rule"
"Scott 1986, Vanek and Burke 2020","ES134","CC60","Mainland USA","Assateague","Reptiles","Squamata","Colubridae","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos","Carnivorous","Both","SVL",45.0511548495649,34.1799091412369,7.23567781995529,9.4674975094725,327,66,-0.276160599125885,0.00124136356721963,-75.2056,38.0885,1.65370592824216,0.505149978319906,-0.454692883534176,0.351952099609375,-1.80934264153353,13.8019227981567,2.90426990940326,3.02446512285606,"Conspecific","No island rule"
"Luiselli et al. 2015","ES135","CC61","Italy","Montecristo","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",175.923827413634,91.8304819326232,39.6275612125939,8.43265860623924,55,109,-0.65010681286025,0.000999896817002453,10.3077,43.332,2.24532466500291,1.01661554755718,1.79796655919936,0.611712158203125,-1.4305949758679,15.4597225189209,2.77601575502821,2.84010609445676,"Conspecific","Island rule"
"Fornasiero et al 2007","ES136","CC62","Italy (Pisa)","Sardinia","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,105.258825757916,25.2731367059554,12.2774218452548,55,24,-0.68640241368576,0.000832478854087234,9.034,40.029,2.32035930145254,4.37717871299024,2.33041580275792,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,"Conspecific","Island rule"
"Fornasiero et al 2007","ES137","CC62","Italy (Pisa)","Asinara","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,97.2699027960445,25.2731367059554,9.74027099611927,55,32,-0.765335120354873,0.000578959385724617,8.32,41.08,2.32035930145254,1.7160033436348,2.43297089343411,0.57816025390625,-1.64239257676127,16.3976707458496,2.70274419724476,2.69418385092386,"Conspecific","Island rule"
"Fornasiero et al 2007","ES138","CC62","Italy (Pisa)","Capraia","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,116.893483333752,25.2731367059554,12.9998736811679,55,10,-0.581561616638501,0.00150240029862125,9.818,43.039,2.32035930145254,1.27875360095283,1.70757869159253,0.5670630859375,-1.80313904782448,16.375415802002,2.73547467801283,2.85278486868055,"Conspecific","Island rule"
"Fornasiero et al 2007","ES139","CC62","Italy (Pisa)","Corsica","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,126.84624005637,25.2731367059554,16.2625507122015,55,15,-0.499849093172961,0.00136140439034283,9.12,42.1,2.32035930145254,3.93856975622106,1.90417978339357,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,"Conspecific","Island rule"
"Fornasiero et al 2007","ES140","CC62","Italy (Pisa)","Elba","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,164.973998010679,25.2731367059554,22.8317787812892,55,6,-0.237036864246456,0.00345785804231645,10.193,42.775,2.32035930145254,2.35024801833416,0.977769318091574,0.666049462890625,-2.17061661459688,15.0973176956177,2.77591416398228,2.77276162925187,"Conspecific","Island rule"
"Fornasiero et al 2007","ES141","CC62","Italy (Pisa)","Giglio","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Male","SVL",227.905746758411,126.367447578602,23.2078691376256,10.0223768753139,43,8,-0.589738238508664,0.00102743927450724,10.905,42.355,2.35775527627296,1.37657695705651,1.16734687758564,0.543368896484375,-1.4443105801529,16.0983200073242,2.74553056254127,2.70315375491425,"Conspecific","Island rule"
"Fornasiero et al 2007","ES142","CC62","Italy (Pisa)","Montecristo","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,94.6466230655147,25.2731367059554,8.81942296804664,55,83,-0.792674539020366,0.000370219990256627,10.3077,43.332,2.32035930145254,1.01661554755718,1.79796655919936,0.611712158203125,-1.4305949758679,15.4597225189209,2.77601575502821,2.84010609445676,"Conspecific","Island rule"
"Fornasiero et al 2007","ES143","CC62","Italy (Pisa)","Pianosa","Reptiles","Squamata","Colubridae","Hierophis viridiflavus","Hierophis viridiflavus","Hierophis viridiflavus","Carnivorous","Both","SVL",209.102536707879,139.724745421911,25.2731367059554,12.8734047991309,55,9,-0.403150354754442,0.00120879220440293,10.078,42.584,2.32035930145254,1.01072386539177,1.68664520527081,0.60059921875,-1.72871518947474,16.8057842254639,2.70906323821287,2.62027143052278,"Conspecific","Island rule"
"Judd and Ross 1978","ES144","CC63","Texas","South Padre","Reptiles","Squamata","Phrynosomatidae","Holbrookia propinqua","Holbrookia propinqua","Holbrookia propinqua","Carnivorous","Female","SVL",4.57900382038693,5.0231422297624,0.248315402438159,0.225122350318725,73,117,0.0925742120648892,5.74521519560853e-05,-97.171,26.143,0.6607710058715,0.740362689494244,0.477265995424853,0.157952124023438,-1.85973620096332,22.3656787872314,2.70020459814121,2.84142829213596,"Conspecific","No island rule"
"Ross and Judd 1982","ES145","CC64","Texas","South Padre","Reptiles","Squamata","Phrynosomatidae","Holbrookia propinqua","Holbrookia propinqua","Holbrookia propinqua","Carnivorous","Both","SVL",4.77893539157448,6.33629175399421,0.26289427881647,0.470454926875302,21,27,0.282075900214576,0.000348280242515157,-97.171,26.143,0.679331159151813,0.740362689494244,0.477265995424853,0.157952124023438,-1.85973620096332,22.3656787872314,2.70020459814121,2.84142829213596,"Conspecific","No island rule"
"Selcer and Judd 1982, Judd and Ross 1978","ES146","CC65","Texas","Brazos","Reptiles","Squamata","Phrynosomatidae","Holbrookia propinqua","Holbrookia propinqua","Holbrookia propinqua","Carnivorous","Female","SVL",4.57900382038693,4.57220077378448,0.248315402438159,0.223812050222907,73,107,-0.00148680925788165,6.26789605299829e-05,-97.055,26.0578,0.6607710058715,1.24353410183206,0.146438135285775,-0.118348706054688,-1.79105977081453,22.527416229248,2.69753337751981,2.84058280966837,"Conspecific","No island rule"
"Lichtenbelt and Albers 1993","ES147","CC66","Panama","Curacao","Reptiles","Squamata","Iguanidae","Iguana iguana","Iguana iguana","Iguana iguana","Herbivorous","Female","SVL",1895.12427557614,783.625363876178,269.899958975838,76.2261889127158,30,59,-0.883108642201258,0.000836472995673392,-68.974,12.161,3.27763769474064,2.64738297011462,1.81292003804503,0.382149072265625,-1.93256534435882,27.7075386047363,1.97071372153437,2.74977494271714,"Conspecific","Island rule"
"Fitch 1985, Sanches and Grings 2018","ES148","CC67","Brazil","Curacao","Reptiles","Squamata","Iguanidae","Iguana iguana","Iguana iguana","Iguana iguana","Herbivorous","Both","SVL",3149.90090384519,214.23685996777,215.048814570955,13.8623850567381,10,23,-2.68804404700309,0.000648138319330763,-68.974,12.161,3.49829689106256,2.64738297011462,1.81292003804503,0.382149072265625,-1.93256534435882,27.7075386047363,1.97071372153437,2.74977494271714,"Conspecific","No island rule"
"Bakhuis 1982, Sanches and Grings 2018","ES149","CC68","Brazil","Curacao","Reptiles","Squamata","Iguanidae","Iguana iguana","Iguana iguana","Iguana iguana","Herbivorous","Both","SVL",3149.90090384519,642.874130798918,215.048814570955,87.4416979786375,10,175,-1.58917732018691,0.000571818890795414,-68.974,12.161,3.49829689106256,2.64738297011462,1.81292003804503,0.382149072265625,-1.93256534435882,27.7075386047363,1.97071372153437,2.74977494271714,"Conspecific","No island rule"
"Ota 1991","ES150","CC69","Taiwan","Ishigakijima","Reptiles","Squamata","Agamidae","Japalura polygonata","Japalura polygonata","Japalura polygonata","Carnivorous","Both","SVL",7.0209408583841,6.28085833127103,0.403711971023013,0.409373345876201,149,80,-0.111390586373307,7.5292494961415e-05,124.197,24.414,0.846395314725942,2.34740808371225,2.33845848577656,0.6272091796875,-1.77575586272411,23.1909770965576,2.59989795716094,3.33041174194912,"Conspecific","No island rule"
"Ota 1991","ES151","CC69","Taiwan","Okinawajima","Reptiles","Squamata","Agamidae","Japalura polygonata","Japalura polygonata","Japalura polygonata","Carnivorous","Both","SVL",7.0209408583841,8.47906359581332,0.403711971023013,0.789681236052479,149,114,0.188702784216549,9.82761556868544e-05,127.9278,26.4794,0.846395314725942,3.08170007377456,2.76342874234588,0.483222998046875,-1.49092461609625,22.8974323272705,2.65055307551962,3.3202200942349,"Conspecific","No island rule"
"Huang 2007, Kuo et al. 2009","ES152","CC70","Taiwan","Orchid","Reptiles","Squamata","Agamidae","Japalura swinhonis","Japalura swinhonis","Japalura swinhonis","Carnivorous","Both","SVL",12.4025191221859,12.5955450914291,0.960544495340276,0.775064766372358,87,126,0.0154435802737898,9.89957809318423e-05,121.55,22.05,1.09350990530334,1.67024585307412,1.95424733490676,0.6460296875,-1.38513636967053,23.7635555267334,2.42286900769809,3.43482431185182,"Conspecific","No island rule"
"Clark 1967","ES153","CC71","Mainland Greece","Spetsai","Reptiles","Squamata","Lacertidae","Lacerta trilineata","Lacerta trilineata","Lacerta trilineata","Omnivorous","Both","SVL",73.8989580948249,44.828649862765,8.02718378421496,4.51444720523079,6,14,-0.499851288113108,0.00269090633411567,23.134,37.258,1.86863831529796,1.34635297445064,0.361916618668643,0.45666572265625,-1.89786573452021,17.6349029541016,2.76604694768925,2.69613787578185,"Conspecific","No island rule"
"Sagonas et al. 2015","ES154","CC72","Greece","Andros","Reptiles","Squamata","Lacertidae","Lacerta trilineata","Lacerta trilineata","Lacerta trilineata","Omnivorous","Male","SVL",43.4026451281546,46.5959981318731,8.61982944467856,5.6369078651284,46,14,0.0709942735430694,0.0019027843343808,24.872,37.844,1.63751619793545,2.57287160220048,1.74664198192307,0.46406669921875,-2.01525937643744,15.9340848922729,2.77660884212629,2.69035558099229,"Conspecific","Island rule"
"Sagonas et al. 2015","ES155","CC72","Greece","Skyros","Reptiles","Squamata","Lacertidae","Lacerta trilineata","Lacerta trilineata","Lacerta trilineata","Omnivorous","Male","SVL",43.4026451281546,58.4966859326816,8.61982944467856,9.06166843902631,46,14,0.298449715007247,0.00257150570182868,24.595,38.816,1.63751619793545,2.32014628611105,1.54408045258678,0.447905908203125,-2.04203260357654,16.3871288299561,2.78278784082085,2.62685341466673,"Conspecific","Island rule"
"Sagonas et al. 2015","ES156","CC72","Greece","Andros","Reptiles","Squamata","Lacertidae","Lacerta trilineata","Lacerta trilineata","Lacerta trilineata","Omnivorous","Male","Weight",59.401,61.09,34.564,23.12,46,14,0.0280371254179487,0.0175911685540084,24.872,37.844,1.77379375627457,2.57287160220048,1.74664198192307,0.46406669921875,-2.01525937643744,15.9340848922729,2.77660884212629,2.69035558099229,"Conspecific","Island rule"
"Sagonas et al. 2015","ES157","CC72","Greece","Skyros","Reptiles","Squamata","Lacertidae","Lacerta trilineata","Lacerta trilineata","Lacerta trilineata","Omnivorous","Male","Weight",59.401,77.93,34.564,17.04,46,14,0.271499926611743,0.0107755080442003,24.595,38.816,1.77379375627457,2.32014628611105,1.54408045258678,0.447905908203125,-2.04203260357654,16.3871288299561,2.78278784082085,2.62685341466673,"Conspecific","Island rule"
"Schwartz 1959","ES158","CC73","Cuba","Isla de Pinos (Isla de la Juventud)","Reptiles","Squamata","Leiocephalidae","Leiocephalus cubensis","Leiocephalus cubensis","Leiocephalus cubensis gigas","Omnivorous","Both","SVL",13.5481136219404,16.4431487258968,2.31787800303108,3.18957718625378,65,53,0.193661578086756,0.0011602464372863,-82.81558556,21.69109755,1.13187883022051,3.34242268082221,1.72754938980787,0.628123974609375,-1.85326731054213,25.5641765594482,2.28964168485232,3.11579616479227,"Conspecific","No island rule"
"Schwartz 1959","ES159","CC73","Cuba","Cayo Hicacos and Cayo Campos","Reptiles","Squamata","Leiocephalidae","Leiocephalus cubensis","Leiocephalus cubensis","Leiocephalus cubensis pambasileus","Omnivorous","Both","SVL",13.5481136219404,11.8541866697584,2.31787800303108,1.77656394001132,65,18,-0.133566210892986,0.00169811042596505,-82.302,21.5735,1.13187883022051,1.07918124604762,1.91328920446897,0.3846701171875,-1.85083602024579,25.8989486694336,2.28031565677324,3.05775355504191,"Conspecific","No island rule"
"Schwartz 1959","ES160","CC73","Cuba","Cayo Cachiboca","Reptiles","Squamata","Leiocephalidae","Leiocephalus cubensis","Leiocephalus cubensis","Leiocephalus cubensis paraphrus","Omnivorous","Both","SVL",13.5481136219404,9.21539408228852,2.31787800303108,1.70728275919822,65,26,-0.385371966028592,0.0017704173204872,-78.7506,20.6953,1.13187883022051,-0.154901959985743,1.66559037092707,0.0904866760253906,-1.609653892743,26.3349685668945,2.24060077436998,3.05261701953242,"Conspecific","No island rule"
