"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Pigot et al. 2020","Madagascar","Mayotte","Birds","Leptosomiformes","Leptosomidae","Leptosomus discolor","Leptosomus discolor","Leptosomus discolor","Invertebrate","Male","Tarsus Length",30.833,27.095,2.261,0.917,4,4,30.8325,NA,2.260580678,NA,4,NA,27.095,NA,0.916751511,NA,4,NA,45.152,-12.801,375,300,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Madagascar","Mayotte","Birds","Leptosomiformes","Leptosomidae","Leptosomus discolor","Leptosomus discolor","Leptosomus discolor","Invertebrate","Male","Wing Length",245,245,2.16,5.774,4,4,245,NA,2.160246899,NA,4,NA,245,NA,5.773502692,NA,4,NA,45.152,-12.801,375,300,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Grant 1965","Nayarit (Mexico)","Tres Marias","Birds","Columbiformes","Columbidae","Leptotila verreauxi","Leptotila verreauxi","Leptotila verreauxi","","Both","Wing Length",141.8,151.15,3.352,2.774,44,46,143,140.6,3.564,2.667,32,12,152.5,149.8,3,2.475,25,21,-106.552,21.609,145.282,87,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Nelson 1909","Cape Region, Baja California Sur","Espiritu Santo","Mammals","Lagomorpha","Leporidae","Lepus californicus","Lepus californicus xanti","Lepus californicus","","Both","Length",443,478.2,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.342,24.482,84.08,6.15,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","No"
"Nelson 1909","Cape Region, Baja California Sur","Magdalena and Sta. Margarita","Mammals","Lagomorpha","Leporidae","Lepus californicus","Lepus californicus xanti","Lepus californicus","","Both","Length",443,442.8,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.114,25.345,290,1,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","No"
"Lawlor 1982","Cape Region, Baja California Sur","Magdalena","Mammals","Lagomorpha","Leporidae","Lepus californicus","Lepus californicus xanti","Lepus californicus magdalenae","","Both","Length",443,442.8,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.114,25.345,290,1,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","Island rule","No"
"Palacios and Fernandez 1992","Spain","Mallorca","Mammals","Lagomorpha","Leporidae","Lepus granatensis","Lepus granatensis granatensis","Lepus granatensis solisi","","Both","Weight",2321.786,2060.833,202.941,161.984,13,5,2245,2398.571429,149.5,238.5,6,7,1915,2206.666667,162.63,161.66,2,3,2.9951,39.7104,3640,174,"Weight","Conspecific","Island rule","Yes"
"Qualls et al. 1995","Eyre Peninsula, Australia","Kangaroo","Reptiles","Squamata","Scincidae","Lerista bougainvillii","Lerista bougainvillii","Lerista bougainvillii","","Both","SVL",53.9,53.3,4.624,4.991,61,35,50.3,57.5,3.3,5.3,24,37,47.9,58.7,3.8,5.8,16,19,137.207,-35.819,4405,13.5,"LOG10(Weight, g)= LOG10(SVL, mm)*3.229-5.125, Feldman et al 2015","Conspecific","No island rule","Yes"
"Qualls et al. 1995","Victoria, Australi","Tasmania","Reptiles","Squamata","Scincidae","Lerista bougainvillii","Lerista bougainvillii","Lerista bougainvillii","","Both","SVL",54.1,63.85,5.876,5.152,87,31,49.8,58.4,3.7,6.5,24,63,59.2,68.5,2.8,5.7,8,23,146.5,-42.1,63558.9893,240,"LOG10(Weight, g)= LOG10(SVL, mm)*3.229-5.125, Feldman et al 2015","Conspecific","No island rule","Yes"
"Keast 1968","Australia","Melville","Birds","Passeriformes","Meliphagidae","Lichmera indistincta","Lichmera indistincta","Lichmera indistincta","","Male","Bill length",13.623,14.7,0.469,0.471,35,9,13.62285714,NA,0.468853255,NA,35,NA,14.7,NA,0.471380471,NA,9,NA,130.933,-11.55,5786,24.5,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53","Conspecific","No island rule","Yes"
"Keast 1968","Australia","New Caledonia","Birds","Passeriformes","Meliphagidae","Lichmera indistincta","Lichmera indistincta","Lichmera indistincta","","Male","Bill length",13.623,15.8,0.469,0.47,35,14,13.62285714,NA,0.468853255,NA,35,NA,15.8,NA,0.469621368,NA,14,NA,165.47,-21.481,18275,1270,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53","Conspecific","No island rule","Yes"
"Keast 1968","Australia","Sumbawa and Lombok","Birds","Passeriformes","Meliphagidae","Lichmera indistincta","Lichmera indistincta","Lichmera indistincta","","Male","Bill length",13.623,15.4,0.469,0.491,35,12,13.62285714,NA,0.468853255,NA,35,NA,15.4,NA,0.490948144,NA,12,NA,117.455,-8.738,14386,940,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53","Conspecific","No island rule","Yes"
"Keast 1968","Australia","Vanuatu (Espiritu Santo)","Birds","Passeriformes","Meliphagidae","Lichmera indistincta","Lichmera indistincta","Lichmera indistincta","","Male","Bill length",13.623,18.5,0.469,0.498,35,22,13.62285714,NA,0.468853255,NA,35,NA,18.5,NA,0.497512438,NA,22,NA,166.925,-15.367,3939.603,1800,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Fringillidae","Linurgus olivaceus","Linurgus olivaceus","Linurgus olivaceus","PlantSeed","Male","Tarsus Length",19.05,18.585,0.521,0.444,4,4,19.05,NA,0.521472275,NA,4,NA,18.585,NA,0.443734155,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Fringillidae","Linurgus olivaceus","Linurgus olivaceus","Linurgus olivaceus","PlantSeed","Male","Wing Length",72.25,73.75,1.5,3.5,4,4,72.25,NA,1.5,NA,4,NA,73.75,NA,3.5,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Donoso-Barros 1966","Chile","Chiloe","Reptiles","Squamata","Liolaemidae","Liolaemus pictus","Liolaemus pictus","Liolaemus pictus","Carnivorous","Female","SVL",61.3,62,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.75,-43.3333,8394,2.3,"LOG10(Weight, g)= LOG10(SVL, mm)*3.097-4.678, Liolaeumus, Pincheira-Donoso et al. 2011","Conspecific","No island rule","Yes"
"Krzanowski 1967","Cameroon","Bioko","Mammals","Chiroptera","Pteropodidae","Lissonycteris angolensis","Lissonycteris angolensis","Lissonycteris angolensis","","Unsexed","Skull",40.7,40.2,0.723,0.494,20,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,3.5,2017,42,"log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species","Conspecific","Island rule","Yes"
"Cordero-Rivera et al 2007","Spain (Galicia)","Ons ","Amphibians","Caudata","Salamandridae","Lissotriton boscai","Lissotriton boscai","Lissotriton boscai","","Both","SVL",41.319,38.29,1.826,2.3,24,108,37.778,44.86,1.881648214,1.42,20,4,36.23,40.35,1.984313483,2.683281573,63,45,-8.938,42.377,4458,3.5,"10^-4.744×SVL^3.073 (Salamandridae); Santini et al. 2017","Conspecific","Island rule","Yes"
"Cordero-Rivera et al 2007","Spain (Galicia)","Sálvora ","Amphibians","Caudata","Salamandridae","Lissotriton boscai","Lissotriton boscai","Lissotriton boscai","","Both","SVL",41.319,38.155,1.826,2.506,24,7,37.778,44.86,1.881648214,1.42,20,4,35.69,40.62,1.878297101,4.157787873,5,2,-9.011,42.473,1.9,4,"10^-4.744×SVL^3.073 (Salamandridae); Santini et al. 2017","Conspecific","Island rule","Yes"
"Altuni?ik et al. 2014","Çanakkale (Turkey)","Bozcaada (Tenedos) Island","Amphibians","Caudata","Salamandridae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton vulgaris","","Both","SVL",33.755,32.305,1.623,1.657,20,17,31.95,35.56,1.75,1.4,12,8,31.78,32.83,1.59,1.73,9,8,26.039,39.8261,37.6,7.181,"10^-4.744×SVL^3.073 (Salamandridae); Santini et al. 2017","Conspecific","Island rule","Yes"
"Altuni?ik et al. 2014","Çanakkale (Turkey)","Bozcaada (Tenedos) Island","Amphibians","Caudata","Salamandridae","Lissotriton vulgaris","Lissotriton vulgaris","Lissotriton vulgaris","","Both","Weight",1.855,1.495,0.276,0.33,20,17,1.69,2.02,0.15,0.4,12,8,1.5,1.49,0.33,0.33,9,8,26.039,39.8261,37.6,7.181,"Weight","Conspecific","Island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Estrildidae","Lonchura kelaarti","Lonchura kelaarti","Lonchura kelaarti","PlantSeed","Male","Tarsus Length",14.088,14.718,0.393,0.533,4,4,14.0875,NA,0.392969464,NA,4,NA,14.7175,NA,0.533440093,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Estrildidae","Lonchura kelaarti","Lonchura kelaarti","Lonchura kelaarti","PlantSeed","Male","Wing Length",54.25,53.75,1.258,1.708,4,4,54.25,NA,1.258305739,NA,4,NA,53.75,NA,1.707825128,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Estrildidae","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","PlantSeed","Male","Tarsus Length",13.75,14.32,1.127,0.8,4,4,13.75,NA,1.126942767,NA,4,NA,14.32,NA,0.799749961,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Estrildidae","Lonchura punctulata","Lonchura punctulata","Lonchura punctulata","PlantSeed","Male","Wing Length",55,53.75,1.08,0.957,4,4,55,NA,1.08012345,NA,4,NA,53.75,NA,0.957427108,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Estrildidae","Lonchura striata","Lonchura striata","Lonchura striata","PlantSeed","Female","Tarsus Length",13.125,13.225,0.64,0.523,4,4,NA,13.125,NA,0.639661369,NA,4,NA,13.225,NA,0.522908532,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Estrildidae","Lonchura striata","Lonchura striata","Lonchura striata","PlantSeed","Female","Wing Length",51.125,50,0.75,1.155,4,4,NA,51.125,NA,0.75,NA,4,NA,50,NA,1.154700538,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 55-60N","Admiralty","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Male","CBL",120.61,122.24,3.449,NA,4,2,120.61,NA,3.45,NA,4,NA,122.24,NA,NA,NA,2,NA,-134.336,57.622,4310,5.7,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 55-60N","Baranof","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Male","CBL",120.61,122.28,3.449,3.375,4,8,120.61,121.19,3.45,NA,4,2,122.28,116.91,3.37,NA,8,8,-134.9478,56.9513,4163,75,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","Canada S. of 52N, E. of 65W","Cape Breton","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Both","CBL",112.46,113.63,NA,NA,46,3,114.02,110.9,NA,NA,26,20,116,111.26,NA,NA,1,2,-60.982,46.136,10280,0.8,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 55-60N","Chichagof","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Male","CBL",120.61,121.66,3.449,2.677,4,6,120.61,121.19,3.45,NA,4,2,121.66,119.61,2.68,NA,6,8,-135.908,57.852,5449,8.8,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 53-58N","Graham","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Both","CBL",120.19,115.02,NA,NA,4,2,119.19,121.19,NA,NA,2,2,116.82,113.22,NA,NA,1,1,-132.313,53.437,6361,76,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 53-58N","Moresby","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Both","CBL",120.19,117.84,NA,NA,4,2,119.19,121.19,NA,NA,2,2,119.78,115.9,NA,NA,1,1,-131.986,52.801,2636,180,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 55-60N","Prince of Wales","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Male","CBL",120.61,124.09,3.449,0.534,4,6,120.61,121.19,3.45,NA,4,2,124.09,116.01,0.53,NA,6,4,-132.867,55.726,6675,7,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 47-55N","Vancouver Island","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Female","CBL",104.91,114.75,2.476,4.074,2,9,114.48,104.91,NA,2.48,10,2,119.36,114.75,NA,4.073625,3,9,-125.415,49.552,31285,10,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Meiri et al 2006","NW America W. of the Rockies, 55-60N","Wrangell","Mammals","Carnivora","Mustelidae","Lontra canadensis","Lontra canadensis","Lontra canadensis","","Female","CBL",121.19,120.26,NA,NA,2,2,NA,121.19,NA,NA,NA,2,NA,120.26,NA,NA,NA,2,-135.494,56.853,569,6.4,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Pigot et al. 2020","Papua New Guinea","New Britain","Birds","Psittaciformes","Psittacidae","Lorius hypoinochrous","Lorius hypoinochrous","Lorius hypoinochrous","FruiNect","Male","Tarsus Length",20.567,18.773,1.97,2.238,3,3,20.56666667,NA,1.970135359,NA,3,NA,18.77333333,NA,2.238176341,NA,3,NA,151.274,-5.374,36520,88,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Papua New Guinea","New Britain","Birds","Psittaciformes","Psittacidae","Lorius hypoinochrous","Lorius hypoinochrous","Lorius hypoinochrous","FruiNect","Male","Wing Length",180,167.333,6.928,2.082,3,3,180,NA,6.92820323,NA,3,NA,167.3333333,NA,2.081665999,NA,3,NA,151.274,-5.374,36520,88,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Corsica","Birds","Passeriformes","Alaudidae","Lullula arborea","Lullula arborea","Lullula arborea","Omnivore","Male","Tarsus Length",21.113,22.34,0.732,0.246,4,4,21.1125,NA,0.732228334,NA,4,NA,22.34,NA,0.246441339,NA,4,NA,9.12,42.1,8681,80.2,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Corsica","Birds","Passeriformes","Alaudidae","Lullula arborea","Lullula arborea","Lullula arborea","Omnivore","Male","Wing Length",94.5,94,3.317,2.944,4,4,94.5,NA,3.31662479,NA,4,NA,94,NA,2.943920289,NA,4,NA,9.12,42.1,8681,80.2,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Meiri et al 2006","Britain","South Uist","Mammals","Carnivora","Mustelidae","Lutra lutra","Lutra lutra","Lutra lutra","","Both","CBL",111.88,116.1,3.949,NA,21,2,115.91,107.85,3.89,4.02,12,9,117.84,114.36,NA,NA,1,1,-7.326,57.277,434,73,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","Island rule","Yes"
"Lynch et al. 1996","Scotland","Shetland","Mammals","Carnivora","Mustelidae","Lutra lutra","Lutra lutra","Lutra lutra","","Both","CBL",111.525,110.935,4.277,3.844,45,77,114.8,108.25,3.88,4.73,25,20,114.32,107.55,3.57,4.12,40,37,-1.281,60.3994,967,167,"log10(mass,g) = -4.2989  +3.9723*log10(CBL mm), r2 = 0.9539, own model, Mustelidae, Herpestidae, Viverridae","Conspecific","No island rule","Yes"
"Jimenez & McMahon 2004","Nahuelbuta NP","Chiloe","Mammals","Carnivora","Canidae","Lycalopex fulvipes","Pseudalopex fulvipes","Pseudalopex fulvipes","","Both","Weight",2350,3085,284.946,403.97,16,16,2440,2260,303.030303,258.8757396,9,7,3260,2910,425.295858,387.2053872,7,9,-73.75,-43.3333,8394,2.3,"Weight","Conspecific","No island rule","Yes"
"Vences et al. 2004","Madagascar","Nosy Be","Reptiles","Squamata","Lamprophiidae","Lycodryas granuliceps","Lycodryas granuliceps","Lycodryas granuliceps","Carnivorous","Both","SVL",629,622.5,260.21,183.326,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.26,-13.326,320.02,12.02,"LOG10(Weight, g)= LOG10(SVL, mm)*3.232-7.092, Feldman et al 2015","Conspecific","No island rule","Yes"
"Vanzolini and Reboucas-Spieker 1976","Sao Paulo, Brazil","Ilha da Queimada Grande","Reptiles","Squamata","Scincidae","Mabuya macrorhyncha","Mabuya macrorhyncha","Mabuya macrorhyncha","Omnivorous","Female","SVL",85,75,NA,NA,54,73,NA,85,NA,NA,NA,54,NA,75,NA,NA,NA,73,-46.675,-24.486,0.43,34.6,"LOG10(Weight, g)= LOG10(SVL, mm)*3.229-5.125, Feldman et al 2015","Conspecific","Island rule","Yes"
"Vrcibradic and Rocha 2005, Rocha and Vrcibradic 1999","Barra da Marica (Brazil)","Ilha da Queimada Grande","Reptiles","Squamata","Scincidae","Mabuya macrorhyncha","Mabuya macrorhyncha","Mabuya macrorhyncha","Omnivorous","Both","SVL",66.9,67.1,3.918,6.8,93,19,65.1,68.7,3.77,4.04,43,50,NA,NA,NA,NA,NA,NA,-46.675,-24.486,0.43,34.6,"LOG10(Weight, g)= LOG10(SVL, mm)*3.229-5.125, Feldman et al 2015","Conspecific","No island rule","No"
"Miller 1903a","Sumatra","Lasia","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Length",439,455,0.707,21.213,2,3,439,NA,0.707106781,NA,2,NA,455,NA,21.21320344,NA,3,NA,96.635,2.1696,15,114,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Miller 1903a","Sumatra","Musala (Mansalar)","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Length",439,442.5,0.707,3.536,2,2,439,NA,0.707106781,NA,2,NA,442.5,NA,3.535533906,NA,2,NA,98.4737,1.6635,77.3,13.02,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Miller 1903a","Sumatra","Simeulue","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Length",439,478,0.707,16.047,2,5,439,NA,0.707106781,NA,2,NA,478,NA,16.04680654,NA,5,NA,96.088,2.614,1754,114,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Miller 1903a","Sumatra","Tuangku","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Length",439,422.667,0.707,2.517,2,3,439,NA,0.707106781,NA,2,NA,422.6666667,NA,2.516611478,NA,3,NA,97.272,2.1617,206.9,44.9,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Ba","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,113.125,4.762,0.92,59,3,118.2111538,103.0748485,4.177996596,5.172107501,26,33,120.65,105.6,0.92,0,2,1,106.5591,8.6457,87,0.09,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Balabac","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Male","Skull",114.915,116.3,4.223,0.57,59,2,114.9147458,98.71349206,4.222533667,3.005568516,59,63,116.3,NA,0.57,NA,2,NA,117.02,7.95,306,0.8,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Bali","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,111.79,4.605,6.676,70,12,126.4,104.7470588,4.98,4.170161867,36,34,120.21,103.37,7.32,4.85,8,4,115.155,-8.274,5620,2.5,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Borneo","Banggi","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",106.814,116.6,3.645,4.81,122,3,114.9147458,98.71349206,4.222533667,3.005568516,59,63,126.7,106.5,4.81,0,2,1,117.18,7.27,441,12.2,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Sumatra","Bangka","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",107.417,104.02,3.353,3.202,79,109,116.6501852,98.1832,3.553213628,2.862463974,54,25,111.6,96.44,6.98,2.96,5,104,106.06,-2.25,11330,11.8,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Batam","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Female","Skull",103.075,95.6,5.172,2.55,33,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,NA,95.6,NA,2.55,NA,2,104.0305,1.0828,399.1,13.9,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Java","Bawean","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",115.574,115.8,4.605,3.691,70,5,126.4,104.7470588,4.98,4.170161867,36,34,123.6,108,5.94,1.67,2,3,112.6667,-5.766,196.3,108.8,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Bintan","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,98.805,4.762,4.308,59,9,118.2111538,103.0748485,4.177996596,5.172107501,26,33,106.47,91.14,3.28,4.94,4,5,104.5003,1.076,1173,21,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mindanao","Bohol","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",113.105,116.05,4.319,1.931,51,7,123.58,102.63,4.2,4.44,26,25,125.63,106.47,2.4,1.54,3,4,124.209,9.875,3269,85.9,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Borneo","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,106.814,4.762,3.645,59,122,118.2111538,103.0748485,4.177996596,5.172107501,26,33,114.9147458,98.71349206,4.222533667,3.005568516,59,63,114,1,743244,520,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Bulan","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,107.95,4.762,9.122,59,2,118.2111538,103.0748485,4.177996596,5.172107501,26,33,114.4,101.5,0,0,1,1,103.905,0.9755,100,42.3,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
"Fooden et al 1993","Mainland Asia (SE Asia)","Condore (Con Son)","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","","Both","Skull",110.643,112.59,4.762,4.5,59,5,118.2111538,103.0748485,4.177996596,5.172107501,26,33,118.58,106.6,4.5,0,4,1,106.607,8.705,51,85,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","Island rule","Yes"
